jd,theta_na,theta_sa,r
2269357.500000,332.811532,349.708766,0.995390
2269358.500000,333.805548,350.702820,0.995668
2269359.500000,334.798947,351.696257,0.995948
2269360.500000,335.791739,352.689087,0.996231
2269361.500000,336.783937,353.681323,0.996515
2269362.500000,337.775557,354.672982,0.996802
2269363.500000,338.766620,355.664082,0.997091
2269364.500000,339.757145,356.654646,0.997382
2269365.500000,340.747153,357.644692,0.997675
2269366.500000,341.736662,358.634239,0.997970
2269367.500000,342.725685,359.623301,0.998265
2269368.500000,343.714230,0.611884,0.998562
2269369.500000,344.702296,1.599988,0.998860
2269370.500000,345.689876,2.587606,0.999157
2269371.500000,346.676957,3.574725,0.999454
2269372.500000,347.663521,4.561327,0.999750
2269373.500000,348.649552,5.547396,1.000045
2269374.500000,349.635037,6.532919,1.000339
2269375.500000,350.619964,7.517884,1.000631
2269376.500000,351.604322,8.502281,1.000921
2269377.500000,352.588103,9.486100,1.001209
2269378.500000,353.571295,10.469329,1.001496
2269379.500000,354.553884,11.451957,1.001781
2269380.500000,355.535859,12.433970,1.002065
2269381.500000,356.517210,13.415359,1.002347
2269382.500000,357.497929,14.396116,1.002628
2269383.500000,358.478011,15.376237,1.002908
2269384.500000,359.457457,16.355720,1.003188
2269385.500000,0.436267,17.334569,1.003466
